date,action,rule,interface_in,ipsrc,ipdst,proto,portsrc,portdst,year,month,day,timestamp,portsrc_range,portdst_range,hour,ipsrc_class,ipdst_class,isprivatesrc,isprivatedst
2024-03-10 14:40:38,PERMIT,7.0,eth0,172.156.2.26,172.17.0.2,TCP,63008.0,50674.0,2024,3,10,14:40:38,Dynamic,Dynamic,14,B,B,Private,Private
2024-03-10 14:40:38,PERMIT,7.0,eth0,192.168.1.0,172.17.0.2,TCP,63008.0,50674.0,2024,3,10,14:40:38,Dynamic,Dynamic,14,C,B,Private,Private
2024-03-10 14:40:38,PERMIT,7.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,50674.0,2024,3,10,14:40:38,Dynamic,Dynamic,14,B,B,Private,Private
2024-03-10 14:40:38,DENY,34.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,30636.0,2024,3,10,14:40:38,Dynamic,Registered,14,A,B,Private,Private
2024-03-10 14:40:39,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,59785.0,2024,3,10,14:40:39,Dynamic,Dynamic,14,A,B,Private,Private
2024-03-10 14:40:39,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,53812.0,2024,3,10,14:40:39,Dynamic,Dynamic,14,A,B,Private,Private
2024-03-10 14:40:39,PERMIT,7.0,eth0,192.168.4.1,172.17.0.2,TCP,63008.0,53812.0,2024,3,10,14:40:39,Dynamic,Dynamic,14,C,B,Private,Private
2024-03-10 14:40:39,DENY,34.0,eth0,172.5.2.8,172.17.0.2,TCP,63008.0,49177.0,2024,3,10,14:40:39,Dynamic,Dynamic,14,B,B,Private,Private
2024-03-10 14:40:41,DENY,34.0,eth0,10.172.11.2,172.17.0.2,TCP,63008.0,30240.0,2024,3,10,14:40:41,Dynamic,Registered,14,A,B,Private,Private
2024-03-10 14:40:41,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,16009.0,2024,3,10,14:40:41,Dynamic,Registered,14,B,B,Private,Private
2024-03-10 14:40:43,DENY,34.0,eth0,194.25.56.2,172.17.0.2,TCP,63008.0,55275.0,2024,3,10,14:40:43,Dynamic,Dynamic,14,C,B,Public,Private
2024-03-10 14:40:43,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,56185.0,2024,3,10,14:40:43,Dynamic,Dynamic,14,B,B,Private,Private
2024-03-10 14:40:45,DENY,34.0,eth0,10.172.11.2,172.17.0.2,TCP,63008.0,9890.0,2024,3,10,14:40:45,Dynamic,Registered,14,A,B,Private,Private
2024-03-10 14:40:45,DENY,34.0,eth0,28.12.15.20,172.17.0.2,TCP,63008.0,25887.0,2024,3,10,14:40:45,Dynamic,Registered,14,A,B,Public,Private
